getDest()|1636883508.056|1636883508.172|0.116
getDest()|1636883508.172|1636883508.187|0.015
getDest()|1636883508.187|1636883508.204|0.017
getDest()|1636883508.204|1636883508.219|0.015
getDest()|1636883508.219|1636883508.233|0.014
getDest()|1636883508.233|1636883508.250|0.016
getDest()|1636883508.250|1636883508.265|0.015
getDest()|1636883508.265|1636883508.282|0.016
getDest()|1636883508.282|1636883508.298|0.017
getDest()|1636883508.298|1636883508.315|0.016
getDest()|1636883508.315|1636883508.330|0.016
getDest()|1636883508.330|1636883508.346|0.016
getDest()|1636883508.347|1636883508.362|0.016
getDest()|1636883508.362|1636883508.379|0.016
getDest()|1636883508.379|1636883508.394|0.016
getDest()|1636883508.394|1636883508.411|0.016
getDest()|1636883508.411|1636883508.427|0.016
getDest()|1636883508.427|1636883508.444|0.016
getDest()|1636883508.444|1636883508.459|0.016
getDest()|1636883508.460|1636883508.476|0.016
getDest()|1636883508.476|1636883508.491|0.016
getDest()|1636883508.492|1636883508.508|0.016
getDest()|1636883508.508|1636883508.525|0.017
getDest()|1636883508.525|1636883508.540|0.015
getDest()|1636883508.540|1636883508.558|0.018
getDest()|1636883508.558|1636883508.573|0.015
getDest()|1636883508.573|1636883508.589|0.016
getDest()|1636883508.589|1636883508.605|0.016
getDest()|1636883508.605|1636883508.621|0.016
getDest()|1636883508.621|1636883508.637|0.016
getDest()|1636883508.637|1636883508.653|0.016
getDest()|1636883508.654|1636883508.670|0.017
getDest()|1636883508.670|1636883508.686|0.015
getDest()|1636883508.686|1636883508.702|0.017
getDest()|1636883508.702|1636883508.718|0.016
getDest()|1636883508.718|1636883508.735|0.017
getDest()|1636883508.735|1636883508.745|0.009
getDest()|1636883508.745|1636883508.760|0.016
getDest()|1636883508.760|1636883508.777|0.016
getDest()|1636883508.777|1636883508.792|0.016
getDest()|1636883508.793|1636883508.809|0.016
getDest()|1636883508.809|1636883508.824|0.016
getDest()|1636883508.824|1636883508.841|0.017
getDest()|1636883508.841|1636883508.857|0.015
getDest()|1636883508.857|1636883508.874|0.017
